accuracy,f1_score,iou,loss,mcc,precision,recall,specificity,val_accuracy,val_f1_score,val_iou,val_loss,val_mcc,val_precision,val_recall,val_specificity
0.594184935092926,0.11330339312553406,0.32159021496772766,1.0767018795013428,-0.04725982993841171,0.0696200430393219,0.29613056778907776,0.6226282119750977,0.8249776363372803,0.1794963777065277,0.4620295763015747,0.9825394749641418,0.08893933892250061,0.1590670645236969,0.22449377179145813,0.8908959627151489
0.6634008288383484,0.17750956118106842,0.3739701509475708,1.021750569343567,0.06239490583539009,0.11253612488508224,0.4162392318248749,0.6869828104972839,0.708305835723877,0.24518153071403503,0.41651517152786255,0.9967789649963379,0.160491943359375,0.15886922180652618,0.5286865830421448,0.7382123470306396
0.707897961139679,0.23779094219207764,0.4144275188446045,0.9849860668182373,0.15354520082473755,0.15380680561065674,0.5231701731681824,0.7255195379257202,0.6292181015014648,0.24652233719825745,0.3723410964012146,1.0054175853729248,0.17582479119300842,0.14923956990242004,0.671644926071167,0.641167402267456
0.7388050556182861,0.2886755168437958,0.446422815322876,0.9567273259162903,0.22592096030712128,0.18917056918144226,0.6086392998695374,0.7512224912643433,0.6476778984069824,0.2500241696834564,0.3835482895374298,1.0047242641448975,0.17740805447101593,0.15272174775600433,0.6486988663673401,0.666922390460968
0.7681167721748352,0.33614569902420044,0.4778187572956085,0.9319846630096436,0.2892456650733948,0.22383366525173187,0.6741163730621338,0.7770860195159912,0.7055933475494385,0.26143789291381836,0.4189940094947815,0.9985966682434082,0.1844266653060913,0.16657938063144684,0.5747604370117188,0.7383373975753784
0.7952952980995178,0.38139641284942627,0.5085539221763611,0.90948086977005,0.3458612561225891,0.2587572932243347,0.7246894836425781,0.8020327687263489,0.7555670738220215,0.27494460344314575,0.4509531259536743,0.9898700714111328,0.19623789191246033,0.18580247461795807,0.5146420001983643,0.7974226474761963
0.8178484439849854,0.42206621170043945,0.5361683964729309,0.8890277743339539,0.3943548798561096,0.29156580567359924,0.7639232873916626,0.8229939937591553,0.7852540016174316,0.2884979248046875,0.4719677269458771,0.9843152761459351,0.21092607080936432,0.2046569287776947,0.4877317249774933,0.8318108320236206
0.8362360000610352,0.4578436613082886,0.5604749917984009,0.8700087666511536,0.4354260563850403,0.3216170370578766,0.7942231893539429,0.8402444124221802,0.7923083305358887,0.2986050844192505,0.4789838492870331,0.9818751215934753,0.2232079803943634,0.21343958377838135,0.4947967827320099,0.8398712873458862
0.851227343082428,0.4884174168109894,0.5814850330352783,0.8526521325111389,0.4692171812057495,0.34855878353118896,0.8157241940498352,0.8546142578125,0.7689566612243652,0.28784942626953125,0.4627639055252075,0.9792826175689697,0.2121325433254242,0.19827556610107422,0.5225678086280823,0.8138427734375
0.8639195561408997,0.5151457190513611,0.6001203060150146,0.8366047739982605,0.49767163395881653,0.3733978271484375,0.8303150534629822,0.8671253323554993,0.7175889015197754,0.26280009746551514,0.42733484506607056,0.9780267477035522,0.18519215285778046,0.17204886674880981,0.5682540535926819,0.7540847063064575
